letter,x,y
0.0000000000,-8.2840354067,-0.7200000005
0.0000000000,-8.2615354078,-0.6810288581
0.0000000000,-8.1923616664,-0.5612164255
0.0000000000,-8.1231879272,-0.4414039952
0.0000000000,-8.0540141881,-0.3215915626
0.0000000000,-7.9848404490,-0.2017791323
0.0000000000,-7.9156667076,-0.0819666997
0.0000000000,-7.8931667086,-0.0429955573
0.0000000000,-7.9428137011,0.0429955567
0.0000000000,-7.9262647044,0.0143318521
0.0000000000,-7.9097157054,-0.0143318526
0.0000000000,-8.3336823992,-0.6340088865
0.0000000000,-8.3111824003,-0.5950377441
0.0000000000,-8.2420086589,-0.4752253115
0.0000000000,-8.1728349198,-0.3554128812
0.0000000000,-8.1036611806,-0.2356004486
0.0000000000,-8.0344874415,-0.1157880183
0.0000000000,-7.9653137001,0.0040244143
0.0000000000,-8.3171334025,-0.6626725912
0.0000000000,-8.3005844035,-0.6913362959
0.0000000000,-7.8564771682,-0.0429955573
0.0000000000,-7.9097157054,0.0429955567
0.0000000000,-7.8766177119,0.0429955567
0.0000000000,-7.8435197161,0.0429955567
0.0000000000,-7.8958861926,-0.7200000005
0.0000000000,-7.8561685986,-0.7200000005
0.0000000000,-7.8164510046,-0.7200000005
0.0000000000,-7.7767334106,-0.7200000005
0.0000000000,-7.7370158166,-0.7200000005
0.0000000000,-7.6972982226,-0.7200000005
0.0000000000,-7.7469452151,-0.6340088865
0.0000000000,-7.7303962183,-0.6626725912
0.0000000000,-7.7138472193,-0.6913362959
0.0000000000,-7.9455331851,-0.6340088865
0.0000000000,-7.9058155911,-0.6340088865
0.0000000000,-7.8660979971,-0.6340088865
0.0000000000,-7.8263804031,-0.6340088865
0.0000000000,-7.7866628091,-0.6340088865
0.0000000000,-7.9289841883,-0.6626725912
0.0000000000,-7.9124351893,-0.6913362959
0.0000000000,-7.6905931548,-0.6755023377
0.0000000000,-7.6728724867,-0.5579005142
0.0000000000,-7.6551518210,-0.4402986906
0.0000000000,-7.6374311552,-0.3226968671
0.0000000000,-7.6197104894,-0.2050950436
0.0000000000,-7.6019898214,-0.0874932201
0.0000000000,-7.5952847536,-0.0429955573
0.0000000000,-7.6449317461,0.0429955567
0.0000000000,-7.6283827493,0.0143318521
0.0000000000,-7.6118337503,-0.0143318526
0.0000000000,-7.7402401473,-0.5895112237
0.0000000000,-7.7225194792,-0.4719094002
0.0000000000,-7.7047988135,-0.3543075767
0.0000000000,-7.6870781477,-0.2367057531
0.0000000000,-7.6693574819,-0.1191039296
0.0000000000,-7.6516368139,-0.0015021061
0.0000000000,-7.5591778499,-0.0429955573
0.0000000000,-7.5230709463,-0.0429955573
0.0000000000,-7.5727179388,0.0429955567
0.0000000000,-7.5561689421,0.0143318521
0.0000000000,-7.5396199430,-0.0143318526
0.0000000000,-7.6088248424,0.0429955567
0.0000000000,-7.4866563396,-0.0165573964
0.0000000000,-7.4073247152,0.0410398782
0.0000000000,-7.3279930931,0.0986371550
0.0000000000,-7.2486614687,0.1562344296
0.0000000000,-7.2122468621,0.1826725905
0.0000000000,-7.2618938546,0.2686637045
0.0000000000,-7.2453448578,0.2399999998
0.0000000000,-7.2287958588,0.2113362952
0.0000000000,-7.5363033321,0.0694337176
0.0000000000,-7.4569717077,0.1270309922
0.0000000000,-7.3776400856,0.1846282690
0.0000000000,-7.2983084612,0.2422255436
0.0000000000,-7.1897468631,0.2216437329
0.0000000000,-7.1471020779,0.2955066644
0.0000000000,-7.1044572950,0.3693695958
0.0000000000,-7.0819572960,0.4083407383
0.0000000000,-7.1316042885,0.4943318522
0.0000000000,-7.1150552918,0.4656681476
0.0000000000,-7.0985062928,0.4370044429
0.0000000000,-7.2393938556,0.3076348469
0.0000000000,-7.1967490704,0.3814977784
0.0000000000,-7.1541042875,0.4553607098
0.0000000000,-7.1322022482,0.6340088860
0.0000000000,-7.1224224835,0.5900844496
0.0000000000,-7.1070797732,0.5211748121
0.0000000000,-7.0917370607,0.4522651747
0.0000000000,-7.1818492407,0.7200000000
0.0000000000,-7.1653002439,0.6913362953
0.0000000000,-7.1487512449,0.6626725907
0.0000000000,-7.1720694760,0.6760755636
0.0000000000,-7.1567267657,0.6071659261
0.0000000000,-7.1413840532,0.5382562887
0.0000000000,-8.4555431990,-0.7200000005
0.0000000000,-8.4126662510,-0.7200000005
0.0000000000,-8.3697893029,-0.7200000005
0.0000000000,-8.3269123548,-0.7200000005
0.0000000000,-8.5051901915,-0.6340088865
0.0000000000,-8.4623132435,-0.6340088865
0.0000000000,-8.4194362954,-0.6340088865
0.0000000000,-8.3765593473,-0.6340088865
0.0000000000,-8.4886411948,-0.6626725912
0.0000000000,-8.4720921958,-0.6913362959
0.0000000000,-7.6260730990,0.4196241456
0.0000000000,-7.5810730989,0.4196241456
0.0000000000,-7.4923826689,0.4196241456
0.0000000000,-7.4036922389,0.4196241456
0.0000000000,-7.3586922387,0.4196241456
0.0000000000,-7.6757200915,0.5056152596
0.0000000000,-7.6307200914,0.5056152596
0.0000000000,-7.5267791140,0.5056152596
0.0000000000,-7.4228381367,0.5056152596
0.0000000000,-7.3778381365,0.5056152596
0.0000000000,-7.6591710948,0.4769515550
0.0000000000,-7.6426220958,0.4482878503
0.0000000000,-7.7197446298,0.2573802971
0.0000000000,-7.7010103237,0.2898290659
0.0000000000,-7.6822760175,0.3222778370
0.0000000000,-7.6635417114,0.3547266058
0.0000000000,-7.6448074052,0.3871753768
0.0000000000,-7.8190386149,0.2573802971
0.0000000000,-7.7965386136,0.2963514395
0.0000000000,-7.7473793532,0.3814977784
0.0000000000,-7.6982200927,0.4666441172
0.0000000000,-7.8499984433,-0.0000000003
0.0000000000,-7.9388281173,-0.5895112237
0.0000000000,-7.9199166458,-0.4640067228
0.0000000000,-7.9010051766,-0.3385022219
0.0000000000,-7.8820937074,-0.2129977210
0.0000000000,-7.8631822360,-0.0874932201
0.0000000000,-7.7234527953,0.7200000000
0.0000000000,-7.6784527952,0.7200000000
0.0000000000,-7.5655519077,0.7200000000
0.0000000000,-7.4526510180,0.7200000000
0.0000000000,-7.3397501283,0.7200000000
0.0000000000,-7.2268492409,0.7200000000
0.0000000000,-8.4826901926,-0.5950377441
0.0000000000,-8.4157140640,-0.4790316878
0.0000000000,-8.3487379377,-0.3630256337
0.0000000000,-8.2817618114,-0.2470195796
0.0000000000,-8.2147856829,-0.1310135255
0.0000000000,-8.1478095566,-0.0150074714
0.0000000000,-8.0808334303,0.1009985849
0.0000000000,-8.0138573040,0.2170046390
0.0000000000,-7.9468811754,0.3330106931
0.0000000000,-7.8799050491,0.4490167471
0.0000000000,-7.8129289228,0.5650228012
0.0000000000,-7.7459527943,0.6810288576
0.0000000000,-7.3682651876,0.4626197026
0.0000000000,-7.3552279077,0.4040645931
0.0000000000,-7.3812858222,0.3589309636
0.0000000000,-7.3682568650,0.3814977784
0.0000000000,-7.5211566598,0.2573802971
0.0000000000,-7.4861889516,0.2827679637
0.0000000000,-7.4512212410,0.3081556303
0.0000000000,-7.4162535305,0.3335432970
0.0000000000,-7.6800270358,0.2573802971
0.0000000000,-7.6403094418,0.2573802971
0.0000000000,-7.6005918478,0.2573802971
0.0000000000,-7.5608742538,0.2573802971
0.0000000000,-7.7859406191,0.2573802971
0.0000000000,-7.7528426256,0.2573802971
1.0000000000,-6.8217058093,-0.7200000005
1.0000000000,-6.7992058081,-0.6810288581
1.0000000000,-6.7598182650,-0.6128076303
1.0000000000,-6.7204307220,-0.5445864026
1.0000000000,-6.6979307207,-0.5056152602
1.0000000000,-6.7475777133,-0.4196241462
1.0000000000,-6.7310287165,-0.4482878508
1.0000000000,-6.7144797175,-0.4769515555
1.0000000000,-6.8713528018,-0.6340088865
1.0000000000,-6.8488528006,-0.5950377441
1.0000000000,-6.8094652575,-0.5268165164
1.0000000000,-6.7700777145,-0.4585952886
1.0000000000,-6.8548038050,-0.6626725912
1.0000000000,-6.8382548060,-0.6913362959
1.0000000000,-7.1989140088,-0.4196241462
1.0000000000,-7.1764140098,-0.3806530037
1.0000000000,-7.1162486137,-0.2764434813
1.0000000000,-7.0560832175,-0.1722339588
1.0000000000,-7.0335832186,-0.1332628164
1.0000000000,-7.0832302111,-0.0472717024
1.0000000000,-7.0666812143,-0.0759354070
1.0000000000,-7.0501322153,-0.1045991117
1.0000000000,-7.2982079938,-0.4196241462
1.0000000000,-7.2757079948,-0.3806530037
1.0000000000,-7.2190487325,-0.2825162833
1.0000000000,-7.1623894724,-0.1843795652
1.0000000000,-7.1057302100,-0.0862428448
1.0000000000,-6.9885832184,-0.1332628164
1.0000000000,-6.8711466945,-0.1332628164
1.0000000000,-6.7537101730,-0.1332628164
1.0000000000,-6.6362736491,-0.1332628164
1.0000000000,-6.5912736489,-0.1332628164
1.0000000000,-6.6409206415,-0.0472717024
1.0000000000,-6.6243716447,-0.0759354070
1.0000000000,-6.6078226457,-0.1045991117
1.0000000000,-7.0382302109,-0.0472717024
1.0000000000,-6.9207936871,-0.0472717024
1.0000000000,-6.8033571655,-0.0472717024
1.0000000000,-6.6859206416,-0.0472717024
1.0000000000,-6.5687736477,-0.0942916739
1.0000000000,-6.5293861047,-0.0260704462
1.0000000000,-6.4899985616,0.0421507816
1.0000000000,-6.4674985604,0.0811219240
1.0000000000,-6.5171455529,0.1671130380
1.0000000000,-6.5005965562,0.1384493333
1.0000000000,-6.4840475572,0.1097856287
1.0000000000,-6.6184206402,-0.0083005599
1.0000000000,-6.5790330972,0.0599206678
1.0000000000,-6.5396455541,0.1281418956
1.0000000000,-6.8601611375,0.1671130380
1.0000000000,-6.8376611386,0.2060841804
1.0000000000,-6.7872674598,0.2933685918
1.0000000000,-6.7368737810,0.3806530032
1.0000000000,-6.7143737821,0.4196241456
1.0000000000,-6.7640207746,0.5056152596
1.0000000000,-6.7474717779,0.4769515550
1.0000000000,-6.7309227788,0.4482878503
1.0000000000,-6.9594551225,0.1671130380
1.0000000000,-6.9369551236,0.2060841804
1.0000000000,-6.8868103410,0.2929374934
1.0000000000,-6.8366655561,0.3797908042
1.0000000000,-6.7865207736,0.4666441172
1.0000000000,-6.6693737819,0.4196241456
1.0000000000,-6.5542162130,0.4196241456
1.0000000000,-6.4390586418,0.4196241456
1.0000000000,-6.3239010707,0.4196241456
1.0000000000,-6.2087435017,0.4196241456
1.0000000000,-6.1637435016,0.4196241456
1.0000000000,-6.2133904941,0.5056152596
1.0000000000,-6.1968414973,0.4769515550
1.0000000000,-6.1802924983,0.4482878503
1.0000000000,-6.7190207744,0.5056152596
1.0000000000,-6.6038632055,0.5056152596
1.0000000000,-6.4887056343,0.5056152596
1.0000000000,-6.3735480632,0.5056152596
1.0000000000,-6.2583904942,0.5056152596
1.0000000000,-6.1412435004,0.4585952881
1.0000000000,-6.1018559573,0.5268165158
1.0000000000,-6.0624684143,0.5950377436
1.0000000000,-6.0399684130,0.6340088860
1.0000000000,-6.0896154056,0.7200000000
1.0000000000,-6.0730664088,0.6913362953
1.0000000000,-6.0565174098,0.6626725907
1.0000000000,-6.1908904929,0.5445864021
1.0000000000,-6.1515029498,0.6128076298
1.0000000000,-6.1121154068,0.6810288576
1.0000000000,-7.5438438821,-0.7200000005
1.0000000000,-7.4988438819,-0.7200000005
1.0000000000,-7.3724162674,-0.7200000005
1.0000000000,-7.2459886529,-0.7200000005
1.0000000000,-7.1195610384,-0.7200000005
1.0000000000,-6.9931334239,-0.7200000005
1.0000000000,-6.8667058094,-0.7200000005
1.0000000000,-7.5934908746,-0.6340088865
1.0000000000,-7.5484908744,-0.6340088865
1.0000000000,-7.4220632599,-0.6340088865
1.0000000000,-7.2956356454,-0.6340088865
1.0000000000,-7.1692080309,-0.6340088865
1.0000000000,-7.0427804164,-0.6340088865
1.0000000000,-6.9163528019,-0.6340088865
1.0000000000,-7.5769418778,-0.6626725912
1.0000000000,-7.5603928788,-0.6913362959
1.0000000000,-7.1539140086,-0.4196241462
1.0000000000,-7.0334685769,-0.4196241462
1.0000000000,-6.9130231451,-0.4196241462
1.0000000000,-6.7925777134,-0.4196241462
1.0000000000,-7.2651099980,-0.4196241462
1.0000000000,-7.2320120045,-0.4196241462
1.0000000000,-6.8151611374,0.1671130380
1.0000000000,-6.6886533452,0.1671130380
1.0000000000,-6.5621455531,0.1671130380
1.0000000000,-6.9263571268,0.1671130380
1.0000000000,-6.8932591333,0.1671130380
1.0000000000,-6.8117534784,0.7200000000
1.0000000000,-6.7667534782,0.7200000000
1.0000000000,-6.6403258637,0.7200000000
1.0000000000,-6.5138982492,0.7200000000
1.0000000000,-6.3874706347,0.7200000000
1.0000000000,-6.2610430202,0.7200000000
1.0000000000,-6.1346154057,0.7200000000
1.0000000000,-7.5709908756,-0.5950377441
1.0000000000,-7.5040147471,-0.4790316878
1.0000000000,-7.4370386208,-0.3630256337
1.0000000000,-7.3700624945,-0.2470195796
1.0000000000,-7.3030863659,-0.1310135255
1.0000000000,-7.2361102396,-0.0150074714
1.0000000000,-7.1691341133,0.1009985849
1.0000000000,-7.1021579870,0.2170046390
1.0000000000,-7.0351818585,0.3330106931
1.0000000000,-6.9682057322,0.4490167471
1.0000000000,-6.9012296059,0.5650228012
1.0000000000,-6.8342534773,0.6810288576
2.0000000000,-6.4786902247,-0.7200000005
2.0000000000,-6.4561902257,-0.6810288581
2.0000000000,-6.3870164843,-0.5612164255
2.0000000000,-6.3178427452,-0.4414039952
2.0000000000,-6.2486690061,-0.3215915626
2.0000000000,-6.1794952669,-0.2017791323
2.0000000000,-6.1103215255,-0.0819666997
2.0000000000,-6.0878215266,-0.0429955573
2.0000000000,-6.1374685191,0.0429955567
2.0000000000,-6.1209195223,0.0143318521
2.0000000000,-6.1043705233,-0.0143318526
2.0000000000,-6.5283372172,-0.6340088865
2.0000000000,-6.5058372182,-0.5950377441
2.0000000000,-6.4366634768,-0.4752253115
2.0000000000,-6.3674897377,-0.3554128812
2.0000000000,-6.2983159986,-0.2356004486
2.0000000000,-6.2291422594,-0.1157880183
2.0000000000,-6.1599685180,0.0040244143
2.0000000000,-6.5117882204,-0.6626725912
2.0000000000,-6.4952392214,-0.6913362959
2.0000000000,-6.0428215264,-0.0429955573
2.0000000000,-5.9494562724,-0.0429955573
2.0000000000,-5.8560910184,-0.0429955573
2.0000000000,-5.7627257644,-0.0429955573
2.0000000000,-5.7177257643,-0.0429955573
2.0000000000,-5.7673727568,0.0429955567
2.0000000000,-5.7508237600,0.0143318521
2.0000000000,-5.7342747610,-0.0143318526
2.0000000000,-6.0924685189,0.0429955567
2.0000000000,-5.9991032649,0.0429955567
